1;Адыгейск;Адыгея Республика
1;Майкоп;Адыгея Республика
2;Агидель;Башкортостан Республика
2;Баймак;Башкортостан Республика
2;Белебей;Башкортостан Республика
2;Белорецк;Башкортостан Республика
2;Бирск;Башкортостан Республика
2;Благовещенск;Башкортостан Республика
2;Давлеканово;Башкортостан Республика
2;Дюртюли;Башкортостан Республика
2;Ишимбай;Башкортостан Республика
2;Кумертау;Башкортостан Республика
2;Межгорье;Башкортостан Республика
2;Мелеуз;Башкортостан Республика
2;Нефтекамск;Башкортостан Республика
2;Октябрьский;Башкортостан Республика
2;Салават;Башкортостан Республика
2;Сибай;Башкортостан Республика
2;Стерлитамак;Башкортостан Республика
2;Туймазы;Башкортостан Республика
2;Уфа;Башкортостан Республика
2;Учалы;Башкортостан Республика
2;Янаул;Башкортостан Республика
3;Бабушкин;Бурятия Республика
3;Гусиноозерск;Бурятия Республика
3;Закаменск;Бурятия Республика
3;Кяхта;Бурятия Республика
3;Северобайкальск;Бурятия Республика
3;Улан-Удэ;Бурятия Республика
4;Горно-Алтайск;Алтай Республика
5;Буйнакск;Дагестан Республика
5;Дагестанские Огни;Дагестан Республика
5;Дербент;Дагестан Республика
5;Избербаш;Дагестан Республика
5;Каспийск;Дагестан Республика
5;Кизилюрт;Дагестан Республика
5;Кизляр;Дагестан Республика
5;Махачкала;Дагестан Республика
5;Хасавюрт;Дагестан Республика
5;Южно-Сухокумск;Дагестан Республика
6;Карабулак;Ингушетия Республика
6;Магас;Ингушетия Республика
6;Малгобек;Ингушетия Республика
6;Назрань;Ингушетия Республика
7;Баксан;Кабардино-Балкарская Республика
7;Майский;Кабардино-Балкарская Республика
7;Нальчик;Кабардино-Балкарская Республика
7;Нарткала;Кабардино-Балкарская Республика
7;Прохладный;Кабардино-Балкарская Республика
7;Терек;Кабардино-Балкарская Республика
7;Тырныауз;Кабардино-Балкарская Республика
7;Чегем;Кабардино-Балкарская Республика
8;Городовиковск;Калмыкия Республика
8;Лагань;Калмыкия Республика
8;Элиста;Калмыкия Республика
9;Карачаевск;Карачаево-Черкесская Республика
9;Теберда;Карачаево-Черкесская Республика
9;Усть-Джегута;Карачаево-Черкесская Республика
9;Черкесск;Карачаево-Черкесская Республика
10;Беломорск;Карелия Республика
10;Кемь;Карелия Республика
10;Кондопога;Карелия Республика
10;Костомукша;Карелия Республика
10;Лахденпохья;Карелия Республика
10;Медвежьегорск;Карелия Республика
10;Олонец;Карелия Республика
10;Петрозаводск;Карелия Республика
10;Питкяранта;Карелия Республика
10;Пудож;Карелия Республика
10;Сегежа;Карелия Республика
10;Сортавала;Карелия Республика
10;Суоярви;Карелия Республика
11;Воркута;Коми Республика
11;Вуктыл;Коми Республика
11;Емва;Коми Республика
11;Инта;Коми Республика
11;Микунь;Коми Республика
11;Печора;Коми Республика
11;Сосногорск;Коми Республика
11;Сыктывкар;Коми Республика
11;Усинск;Коми Республика
11;Ухта;Коми Республика
12;Волжск;Марий Эл Республика
12;Звенигово;Марий Эл Республика
12;Йошкар-Ола;Марий Эл Республика
12;Козьмодемьянск;Марий Эл Республика
13;Ардатов;Мордовия Республика
13;Инсар;Мордовия Республика
13;Ковылкино;Мордовия Республика
13;Краснослободск;Мордовия Республика
13;Рузаевка;Мордовия Республика
13;Саранск;Мордовия Республика
13;Темников;Мордовия Республика
14;Алдан;Саха /Якутия/ Республика
14;Верхоянск;Саха /Якутия/ Республика
14;Вилюйск;Саха /Якутия/ Республика
